Index,English,Japanese
2102,generalization guarantee,一般化保証
2103,generalization performance,一般化性能
2105,generalized eigenvector,一般化固有ベクトル
2106,generalized linear mixed model,一般化線形混合モデル
2107,generalized linear model,一般化線形モデル
2111,generation model,生成モデル
2112,generative,生成的
2113,generative adversarial network,敵対的生成ネットワーク
2114,generative adversarial networks,敵対的生成ネットワーク
2115,generative approach,生成的アプローチ
2116,generative model,生成モデル
2117,generative network,生成ネットワーク
2118,generative parser,生成的パーサー
2119,generative pre-training,生成的事前学習
2120,generative probabilistic model,生成的確率モデル
2121,generative process,生成過程
2122,generator,ジェネレーター
2123,generator architecture,ジェネレータ・アーキテクチャ
2124,generator network,生成器ネットワーク
2125,genetic algorithm,遺伝的アルゴリズム
2126,geodesic,測地線
2127,geodesic distance,測地距離
2128,geometric consistency,幾何的一貫性
2129,geometric distribution,幾何分布
2130,geometric invariant,幾何学的不変量
2131,geometric transformation,幾何変換
2132,geometry processing,幾何処理
2133,gibb distribution,ギブス分布
2134,gist descriptor,ジスト記述子
2135,global average pooling,グローバル平均プーリング
2136,global average pooling layer,グローバル平均プーリング層
2137,global coordinate frame,グローバル座標系
2138,global illumination,グローバルイルミネーション
2139,global minima,グローバル最小値
2140,global minimum,グローバル最小値
2141,global model,グローバルモデル
2142,global objective,グローバル目的関数
2143,global optima,グローバル最適解
2144,global optimization,グローバル最適化
2145,global optimum,グローバル最適解
2146,global pooling,グローバルプーリング
2147,global reward,グローバル報酬
2148,goal state,目標状態
2149,gold label,ゴールドラベル
2150,gold parse,ゴールドパース
2151,gossip algorithm,ゴシップアルゴリズム
2152,gradient,勾配
2153,gradient accumulation,勾配蓄積
2154,gradient accumulation step,勾配蓄積ステップ
2155,gradient ascent,勾配上昇
2156,gradient boosted tree,勾配ブーストツリー
2157,gradient clipping,勾配クリッピング
2158,gradient computation,勾配計算
2159,gradient descent,勾配降下法
2160,gradient descent algorithm,勾配降下アルゴリズム
2161,gradient estimate,勾配推定
2162,gradient estimation,勾配推定
2163,gradient estimator,勾配推定器
2164,gradient explosion,勾配爆発
2165,gradient flow,勾配フロー
2166,gradient information,勾配情報
2167,gradient method,勾配法
2168,gradient norm,勾配ノルム
2169,gradient operator,勾配演算子
2170,gradient penalty,勾配ペナルティ
2171,gradient signal,勾配信号
2172,gradient step,勾配ステップ
2173,gradient term,勾配項
2174,gradient update,勾配更新
2175,gradient variance,勾配分散
2176,gradient vector,勾配ベクトル
2177,gradient-based approach,勾配ベースのアプローチ
2178,gradient-based learning,勾配ベースの学習
2179,gradient-based method,勾配ベースの手法
2180,gradient-based optimization,勾配ベースの最適化
2182,grammar inducer,文法誘導器
2183,grammar induction,文法誘導
2185,grammatical error detection,文法的誤り検出
2186,grandparent dependency,祖父母依存関係
2188,graph Laplacian,グラフラプラシアン
2189,graph Laplacian matrix,グラフラプラシアン行列
2190,graph adjacency matrix,グラフ隣接行列
2191,graph attention,グラフアテンション
2192,graph attention mechanism,グラフ注意機構
2193,graph attention network,グラフ注意ネットワーク
2194,graph classification,グラフ分類
2195,graph clustering,グラフクラスタリング
2196,graph construction,グラフ構築
2197,graph contrastive learning,グラフ対比学習
2198,graph convolution,グラフ畳み込み
2199,graph convolution network,グラフ畳み込みネットワーク
2200,graph convolutional network,グラフ畳み込みネットワーク
2201,graph cut,グラフカット
2202,graph cut algorithm,グラフカットアルゴリズム
2203,graph dataset,グラフデータセット
2204,graph datum,グラフデータ
2205,graph diameter,グラフ直径
2206,graph embedding,グラフ埋め込み
2207,graph generator,グラフ生成器
2208,graph isomorphism,グラフ同型性
2209,graph kernel,グラフカーネル
2210,graph learning,グラフ学習
2211,graph matching,グラフマッチング
2212,graph mining,グラフマイニング
2213,graph model,グラフモデル
2214,graph neural network,グラフニューラルネットワーク
2215,graph neural networks,グラフニューラルネットワーク
2216,graph node,グラフノード
2217,graph partitioning,グラフ分割
2218,graph pattern,グラフパターン
2219,graph representation,グラフ表現
2220,graph sampling,グラフサンプリング
2221,graph structure,グラフ構造
2222,graph theory,グラフ理論
2223,graph topology,グラフトポロジー
2224,graph traversal,グラフトラバーサル
2225,graph-based approach,グラフベースのアプローチ
2226,graph-based dependency parsing,グラフベースの依存構文解析
2227,graph-based learning,グラフベースの学習
2228,graph-based method,グラフベースの手法
2229,graph-based model,グラフベースのモデル
2230,graph-based representation,グラフベースの表現
2231,graph-level task,グラフレベルのタスク
2232,graphical model,グラフィカルモデル
2233,graphlet,グラフレット
2234,graphlet kernel,グラフレットカーネル
2236,greedy,貪欲法
2237,greedy algorithm,貪欲アルゴリズム
2238,greedy approach,貪欲アプローチ
2239,greedy decoding,貪欲デコーディング
2240,greedy inference,貪欲推論
2241,greedy maximization,貪欲最大化
2242,greedy method,貪欲法
2243,greedy optimization,貪欲最適化
2244,greedy policy,貪欲方策
2245,greedy search,貪欲探索
2246,greedy strategy,貪欲戦略
2247,grid cell,グリッド細胞
2248,grid search,グリッドサーチ
2249,grid-world,グリッドワールド
2250,ground atom,グラウンドアトム
2251,ground set,グラウンドセット
2252,ground truth,グラウンドトゥルース
2253,ground truth label,グラウンドトゥルースラベル
2254,ground-truth box,グラウンドトゥルースボックス
2255,grounded language learning,グラウンデッド言語学習
2256,grounded supervision,グラウンデッド・スーパービジョン
2258,group normalization,グループ正規化
2259,group sparsity,グループスパース性
2260,half-space,半空間
2261,hand pose estimation,手のポーズ推定
2262,hard attention,ハードアテンション
2263,hash,ハッシュ
2264,hash function,ハッシュ関数
2265,hash table,ハッシュテーブル
2266,hashing algorithm,ハッシングアルゴリズム
2267,hate speech classifier,ヘイトスピーチ分類器
2268,hate speech detection,ヘイトスピーチ検出
2269,head entity,ヘッドエンティティ
2270,head word,見出し語
2271,heap structure,ヒープ構造
2272,heatmap,ヒートマップ
2273,held-out data,検証データ
2275,heuristic algorithm,ヒューリスティックアルゴリズム
2276,heuristic function,ヒューリスティック関数
2277,heuristic search,ヒューリスティック探索
2278,heuristic search algorithm,ヒューリスティック探索アルゴリズム
2279,heuristic value,ヒューリスティック値
2280,hidden Markov model,隠れマルコフモデル
2281,hidden dimension,隠れ次元
2282,hidden dimension size,隠れ次元サイズ
2283,hidden dimensionality,隠れ次元数
2284,hidden embedding,隠れ埋め込み
2285,hidden feature,隠れ特徴
2286,hidden layer,隠れ層
2287,hidden representation,隠れ表現
2288,hidden size,隠れサイズ
2289,hidden state,隠れ状態
2290,hidden state dimension,隠れ状態次元
2291,hidden state representation,隠れ状態表現
