Index,English,Arabic
2083,generative probabilistic model,نموذج احتمالي توليدي
2084,generative process,العملية التوليدية
2085,generator,المولد
2086,generator architecture,معمارية المولد
2087,generator network,شبكة المولد
2088,genetic algorithm,الخوارزمية الجينية
2089,genetic algorithms,خوارزمية جينية
2090,geodesic,المنحنى الجيوديسي
2091,geodesic distance,المسافة الجيوديسية
2092,geometric consistency,الاتساق الهندسي
2093,geometric distribution,التوزيع الهندسي
2094,geometric invariant,الثابت الهندسي
2095,geometric transformation,التحويل الهندسي
2096,geometry processing,معالجة الأشكال الهندسية
2097,gibb distribution,توزيع جيبز
2098,gist descriptor,موصِّف الجوهر
2099,global average pooling,التجميع عبر المتوسط العالمي
2100,global average pooling layer,طبقة تجميع المتوسط العالمي
2101,global coordinate frame,إطار الإحداثيات العالمي
2102,global illumination,الإضاءة العالمية
2103,global minima,الحد الأدنى العالمي
2104,global minimum,الحد الأدنى العالمي
2105,global model,النموذج العالمي
2106,global objective,الهدف العالمي
2107,global optima,القيم المثلى العالمية
2108,global optimization,التحسين العالمي
2109,global optimum,الأمثل العالمي
2110,global pooling,تجميع عالمي
2111,global reward,المكافأة العالمية
2112,glowworm swarm optimization,تحسين سرب الدودة المضيئة
2113,goal state,حالة الهدف
2114,gold label,التسمية الذهبية
2115,gold parse,التحليل الذهبي
2116,gossip algorithm,خوارزمية القيل والقال
2117,gradient,مشتقة
2118,gradient accumulation,تراكم التدرج
2119,gradient accumulation step,خطوة تراكم التدرج
2120,gradient ascent,صعود التدرج
2121,gradient boosted tree,شجرة التعزيز المتدرج
2122,gradient clipping,قص اشتقاقي
2123,gradient computation,حساب التدرجات
2124,gradient descent,نزول اشتقاقي
2125,gradient descent algorithm,خوارزمية النزول بالتدرج
2126,gradient estimate,تقدير التدرج
2127,gradient estimation,تقدير التدرج
2128,gradient estimator,مُقدِّر التدرج
2129,gradient explosion,انفجار التدرج
2130,gradient flow,تدفق التدرج
2131,gradient information,معلومات التدرج
2132,gradient method,طريقة التدرج
2133,gradient norm,مقدار التدرج
2134,gradient operator,مُشغِّل التدرج
2135,gradient penalty,عقوبة التدرج
2136,gradient signal,إشارة التدرج
2137,gradient step,خطوة التدرج
2138,gradient term,مصطلح التدرج
2139,gradient update,تحديث التدرج
2140,gradient variance,تباين التدرج
2141,gradient vector,متجه التدرج
2142,gradient-based approach,النهج القائم على التدرج
2143,gradient-based learning,التعلم القائم على التدرج
2144,gradient-based method,الطريقة القائمة على التدرج
2145,gradient-based optimization,التحسين القائم على التدرج
2146,grammar inducer,مُولِّد القواعد
2147,grammar induction,الحث النحوي
2148,grammatical error detection,اكتشاف الأخطاء النحوية
2149,grandparent dependency,تبعية الأجداد
2150,graph Laplacian,لابلاسيان الرسم البياني
2151,graph Laplacian matrix,مصفوفة لابلاسيان الرسم البياني
2152,graph adjacency matrix,مصفوفة التجاور للرسم البياني
2153,graph attention,انتباه الرسم البياني
2154,graph attention mechanism,آلية الانتباه البياني
2155,graph attention network,شبكة الانتباه البياني
2156,graph classification,تصنيف الرسوم البيانية
2157,graph clustering,تجميع الرسوم البيانية
2158,graph construction,بناء الرسوم البيانية
2159,graph contrastive learning,التعلم التبايني للرسوم البيانية
2160,graph convolution,التلافيف على الرسم البياني
2161,graph convolution network,شبكة الالتفاف البياني
2162,graph convolutional network,الشبكة التلافيفية على الرسم البياني
2163,graph cut,قطع الرسم البياني
2164,graph cut algorithm,خوارزمية قطع الرسوم البيانية
2165,graph dataset,مجموعة بيانات الرسوم البيانية
2166,graph datum,بيانات الرسم البياني
2167,graph diameter,قطر الرسم البياني
2168,graph embedding,تضمين الرسم البياني
2169,graph generator,مُولِّد الرسوم البيانية
2170,graph isomorphism,تماثل الرسوم البيانية
2171,graph kernel,نواة الرسم البياني
2172,graph learning,تعلم الرسوم البيانية
2173,graph matching,مطابقة الرسوم البيانية
2174,graph mining,تنقيب الرسوم البيانية
2175,graph model,نموذج الرسم البياني
2176,graph neural network,شبكة عصبية شبكية
2177,graph neural networks,شبكات الرسم البياني العصبية
2178,graph node,عقدة الرسم البياني
2179,graph partitioning,تقسيم الرسم البياني
2180,graph pattern,نمط الرسم البياني
2181,graph representation,تمثيل الرسم البياني
2182,graph sampling,أخذ عينات الرسم البياني
2183,graph structure,بنية الرسم البياني
2184,graph theory,نظرية الرسوم البيانية
2185,graph topology,طوبولوجيا الرسم البياني
2186,graph traversal,اجتياز الرسم البياني
2187,graph-based approach,النهج القائم على الرسم البياني
2188,graph-based dependency parsing,تحليل التبعيات القائم على الرسم البياني
2189,graph-based learning,التعلم القائم على الرسم البياني
2190,graph-based method,طريقة قائمة على الرسم البياني
2191,graph-based model,النموذج القائم على الرسوم البيانية
2192,graph-based representation,تمثيل قائم على الرسم البياني
2193,graph-level task,مهمة على مستوى الرسم البياني
2194,graphical model,النموذج الرسومي
2195,graphics processing unit,وحدة معالجة الرسوميات
2196,graphlet,الرسومات البيانية الصغيرة
2197,graphlet kernel,نواة الرسوم البيانية الصغيرة
2198,greedy,طماعة
2199,greedy algorithm,الخوارزمية الجشعة
2200,greedy approach,النهج الجشع
2201,greedy decoding,فك الترميز الجشع
2202,greedy inference,الاستدلال الجشع
2203,greedy maximization,التعظيم الجشع
2204,greedy method,الطريقة الجشعة
2205,greedy optimization,الأمثل الجشع
2206,greedy policy,سياسة جشعة
2207,greedy search,البحث الجشع
2208,greedy strategy,استراتيجية جشعة
2209,grid cell,خلايا الشبكة
2210,grid computing,حوسبة شبكية
2211,grid search,بحث شبكي
2212,grid-world,عالم الشبكة
2213,ground atom,ذرة أرضية
2214,ground set,المجموعة الأساسية
2215,ground truth,الحقيقة الأرضية
2216,ground truth label,تسمية الحقيقة الأرضية
2217,ground-truth box,صندوق الحقيقة الأرضية
2218,grounded language learning,تعلم اللغة المتجذر
2219,grounded supervision,الإشراف المستند إلى الواقع
2220,group normalization,تطبيع المجموعة
2221,group sparsity,ندرة جماعية
2222,half-space,نصف الفضاء
2223,hand pose estimation,تقدير وضع اليد
2224,hard attention,الانتباه الصارم
2225,hash,تجزئة
2226,hash function,دالة التجزئة
2227,hash table,جدول التجزئة
