,English,French
2022,cosine similarity measure,mesure de similarité cosinus
2023,cost function,fonction de coût
2024,cost vector,vecteur de coût
2025,cost volume,volume de coût
2026,cost-sensitive learning,apprentissage sensible au coût
2027,counterexample,contre-exemple
2028,counterfactual,contrefactuel
2029,counterfactual datum,donnée contrefactuelle
2030,counterfactual example,exemple contrefactuel
2031,counterfactual fairness,équité contrefactuelle
2032,counterfactual reasoning,raisonnement contrefactuel
2033,countermeasure,contre-mesure
245,covariance,Covariance
2034,covariance function,fonction de covariance
2035,covariance kernel,noyau de covariance
2036,covariance matrix,matrice des covariances
2037,covariance model,modèle de covariance
2038,covariance operator,opérateur de covariance
2039,covariance parameter,paramètre de covariance
2040,covariance structure,structure de covariance
2041,covariant derivative,dérivée covariante
2042,covariate,covariable
2043,covariate shift,décalage de covariables
2044,covering algorithm,algorithme de couverture
2045,creative adversarial network,réseau antagoniste créatif
2046,credibility limits,limites de crédibilité
2047,credible interval,intervalle de crédibilité
2048,credit assignment,attribution de crédit
2049,credit assignment problem,problème d'attribution du mérite
2050,criterion,critère
2051,critic,critique
2052,critic loss,perte du critique
2053,critic network,réseau critique
2054,cross attention,attention croisée
2055,cross entropy,entropie croisée
2056,cross entropy error,erreur d'entropie croisée
2057,cross validation,validation croisée
2058,cross-attention layer,couche d'attention croisée
2059,cross-attention module,module d'attention croisée
2060,cross-correlation,corrélation avec décalage entre deux séries
2061,cross-entropy loss function,fonction de perte d'entropie croisée
2062,cross-entropy method,méthode de l'entropie croisée
2063,cross-entropy objective,objectif d'entropie croisée
2064,cross-lingual benchmark,référence cross-linguistique
2065,cross-lingual embedding,embeddings cross-linguales
2066,cross-lingual feature,caractéristique cross-lingue
2067,cross-lingual knowledge transfer,transfert de connaissances cross-linguales
2068,cross-lingual model,modèle multilingue
2069,cross-lingual representation,représentation multilingue
2070,cross-lingual transfer,transfert multilingue
2071,cross-modal,multimodal
2072,cross-silo federated learning,apprentissage fédéré interdépartemental
2073,cross-validating,validation croisée
2074,cross-validation,validation croisée
2075,crossover,croisement
2076,crowdsourcing,externalisation ouverte
2077,cumulant,cumulant
2078,cumulant generating function,fonction génératrice de cumulants
2079,cumulative density function,fonction de densité cumulative
2080,cumulative distribution function,fonction de distribution cumulative
2081,cumulative error,erreur cumulative
2082,cumulative regret,regret cumulatif
2083,cumulative reward,récompense cumulative
2084,curriculum learning,apprentissage par curriculum
2085,curse of dimensionality,fléau de la dimension
2086,curvilinear regression,régression curviligne
2087,cutting plane,plan de coupe
2088,cutting plane algorithm,algorithme de plan de coupe
2089,cutting plane method,méthode du plan de coupe
2090,cybernetics,cybernétique
2091,cycle consistency,cohérence de cycle
2092,cycle consistency loss,perte de cohérence de cycle
2093,cycle inequality,inégalité de cycle
2094,cyclic graph,graphe cyclique
2095,d-separation,d-séparation
2096,d_model,d_model
2097,daemon,démon
2098,dark data,données sombres
2099,dashboard,tableau de bord
2100,data,donnée
2101,data accuracy,exactitude des données
2102,data analysis,analyse de données
2103,data analyst,analyste de données
2104,data analytics,analytique des données
2105,data annotation,annotation
2106,data architect,architecte de données
2107,data as a service,données-service
2108,data augmentation,amplification des données
2109,data block,bloc de données
2110,data capture,capture de données
2111,data center,centre de données
2112,data centric AI,IA centrée sur les données
2113,data cleaning,nettoyage de données
2114,data clustering,regroupement de données
2115,data completeness,complétude des données
2116,data compliance,conformité des données
2117,data control language,langage de contrôle de données
2118,data cube,cube
2119,data curator,curateur de données
2120,data de-anonymization,désanonymisation des données
2121,data discretization,discrétisation de données
2122,data distribution,distribution des données
2123,data dredging,dragage de données
2124,data drift,dérive dans les données
2125,data efficient learning,apprentissage efficace des données
2126,data encryption standard,algorithme DES
2127,data engineer,ingénieur de données
2128,data engineering,ingénierie des données
2129,data exfiltration,exfiltration de données informatiques
2130,data fusion,fusion de données
2131,data governance,gouvernance des données
2132,data imbalance,déséquilibre des données
2133,data imputation,imputation
2134,data ingestion,ingestion de données
2135,data integration,intégration des données
2136,data integrity,intégrité des données
2137,data labeling,balisage
2138,data lake,lac de données
2139,data management,gestion de données
2140,data management platform,plateforme de gestion des données
2141,data manifold,variété de données
2142,data mart,magasin de données
2143,data mining,forage de données
2144,data model,modèle de données
2145,data modeling,modélisation des données
2146,data pipeline,chaîne de traitement
2147,data point,point de données
2148,data poisoning,empoisonnement de données
2149,data pre-processing,prétraitement des données
2150,data preprocessing,préparation des données
2151,data processing,traitement de données
2152,data processing center,centre de traitement de données
2153,data processing inequality,inégalité de traitement des données
2154,data profiling,profilage des données
2155,data purging,purge des données
2156,data re-identification,réidentification des données
2157,data resilience,résilience des données
2158,data sampling,échantillonnage des données
2159,data sandbox,bac à sable de données
2160,data science,science des données
2161,data scientist,analyste des données
2162,data scraping,moissonnage de données
2163,data security,sécurité des données
2164,data segmentation,segmentation des données
2165,data set,jeu de données
2166,data snooping,pêche aux données
2167,data sovereignty,souveraineté des données
2168,data sparseness,rareté des données
2169,data sparsity,dispersion des données
2170,data steward,intendant d'actif informationnel
2171,data storytelling,mise en récit de données
2172,data stream mining,exploration de flux de données
2173,data structure,structure des données
2174,data valorization,valorisation de données
2175,data vector,vecteur de données
2176,data visualization,visualisation des données
2177,data warehouse,base de données décisionnelle
2178,data-to-text generation,génération de données en texte
2179,database,base de données
2180,database as a service,base de données-service
2181,datafication,datatification
2182,dataframe,dataframe
2185,dataset augmentation,augmentation de jeu de données
2186,dataset bias,biais de l'ensemble de données
2187,dataset size,taille du jeu de données
2188,datasets,données
2189,datasheet,fiche de données
2190,datum bias,biais des données
2191,datum clustering,regroupement de données
2192,datum contamination,contamination des données
2193,datum dependency,dépendance des données
2194,datum fidelity,fidélité des données
2195,datum filtering,filtrage des données
2196,datum generative process,processus génératif de données
2197,datum matrix,matrice de données
2198,datum mining algorithm,algorithme d'exploration de données
2199,datum parallelism,parallélisme de données
2200,datum perturbation,perturbation des données
2201,davinci,davinci
2202,decay parameter,paramètre de décroissance
2203,decentralized algorithm,algorithme décentralisé
2204,decentralized artificial intelligence,intelligence artificielle décentralisée
